;purchease_cat;rmw_cat;description
1162;Viande;PLAT_PREPARE;BOEUF PRX ROND 6E
1163;Boulangerie;HYGIENE_BEAUTE;LA CHAMPETRE 950G
1164;Bébé;PETIT_DEJEUNER;PANTS PLUS NIGHT M
1165;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;200G LE VIEUX PANE
1166;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1167;Boissons;HYGIENE_BEAUTE;6X1L EAU S ANTONIN
1168;Poissonnerie;EPICERIE_SALEE;AILE DE RAIE
1169;Boulangerie;EPICERIE_SUCREE;BAGUETTE CAMPAGNAR
1170;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;CREME UHT30%CRF X2
1171;Produits Surgelés;PETIT_DEJEUNER;MAGNUM BLANC/AMAND
1172;Epicerie Sucrée;VIANDE;MINI BEIGNET POMME
1173;Poissonnerie;VIANDE;PAV SAUMON A/P EQC
1174;Produits Surgelés;EPICERIE_SALEE;POELEE LA POTAGERE
1175;Fruits;FRUITS;RAISIN BLC DANLAS
1176;Poissonnerie;POISSONNERIE;SAUMON FUME ECOSSE
1177;Hygiène et Beauté;EPICERIE_SUCREE;50 BATONNETS CARF
1178;Hygiène et Beauté;EPICERIE_SUCREE;SERUM PHYSIOLOGIQ
1179;Viande;PLAT_PREPARE;POULET FERMIER/LICQUES L/RGE
1180;Viande;BOISSONS;SAUCISSES COCKTAIL NATURE 450G
1181;Viande;BOISSONS;LOT 2 GDS LARDONS FUMES +1 GT
1182;Épicerie Salée;BOISSONS;TAGLIATELLES 600G
1183;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;BEURRE 1/2 SEL MOULIN D'OR 250G
1184;Produits Laitiers, Lait, Oeufs;BOISSONS;OEUFS FRAIS MOYEN X12
1185;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREME FRAICHE 30%MG 50CL
1186;Produits Laitiers, Lait, Oeufs;BOULANGERIE;RAPE LES CROISES ZIP 200G
1187;Fruits;BOISSONS;POMME ROUGE
1188;Boulangerie;BOISSONS;BAGUETTE 250G
1189;Produits Surgelés;EPICERIE_SALEE;FEUILLETES SURG BLINI 475G
1190;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;BRIE DE NORMANDIE AU LAIT CRU
1191;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;LE CHEVROT LAIT CRU 200G
1192;Produits Laitiers, Lait, Oeufs;BOISSONS;BRIQUETTE CH'TI
1193;Plats préparés;BOISSONS;PAELLA TRADITIONNELLE
1194;Plats préparés;BOISSONS;SALADE PDT HARENG 2 5KG
1195;Viande;BOISSONS;SAUCISSON CHEVAL
1196;Plats préparés;VIANDE;OEUF POCHE AU JAMBON 90G
1197;Plats préparés;VIANDE;FONDUE POIREAUX JAMBON
1198;Plats préparés;BOISSONS;SALADE PERLES OCEANES
1199;Épicerie Salée;BOISSONS;X *HARICOTS VERTS EXF N/J 4/4
1200;Entretien;BOISSONS;48 DOSETTES CLASSIQUE 336G
1201;Boissons;BOISSONS;SIR EDWARD'S 40D 70CL
1202;Boissons;BOISSONS;RHUM ARRANG CHATEL LETCHI
1203;Boissons;BOISSONS;PASTIS SIGALE 45% 1L ECO+
1204;Boissons;BOISSONS;X BIANCO GILDO ECO+ 1L
1205;Boissons;BOISSONS;X *JEAN'S COLA PET 150CL
1206;Boissons;BOISSONS;X *P/JUS D'ORANGE BRICK 1L
1207;Maison;BOISSONS;MULTIP ALLCIG 2 SORT 12V/24V
1208;Epicerie Sucrée;BOISSONS;SUCRINE ROUGE BQTE
1209;Épicerie Salée;BOISSONS;90G NOUILLES TERIY
1210;Fruits;BOISSONS;PASTEQUE 2 2KG
1211;Boulangerie;BOISSONS;BAGUETTE BLANCHE
1212;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;MPBIO YAOURT VANI
1213;Légumes;BOISSONS;"M/BIO""CAROTTE 1 KG"
1214;Fruits;BOISSONS;PECHE JAUNE B
1215;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;EXTRA MOELLEUX 280
1216;Légumes;BOISSONS;TOMATE ALLONGEE
1217;Boissons;BOISSONS;SAN PELLEGRINO EAU MINERALE GAZEUSE NATURE BOUTEILLE PLASTIQUE 6 X 1000 ML
1218;Légumes;BOISSONS;"M/BIO""COURGETTE 1K"
1219;Épicerie Salée;PLAT_PREPARE;330G BOEUF BOURGUI
1220;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1221;Produits Surgelés;EPICERIE_SUCREE;ASSORT CHAMP CRF
1222;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1223;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURRE ISIGNY
1224;Viande;EPICERIE_SUCREE;ESCALOPE DINDE E F
1225;Viande;VIANDE;JAMBON SEC ITALIEN
1226;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MOZZARELLA TRANCHE
1227;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLE CRF
1228;Petit-Déjeuner;BOISSONS;48 DOS ARABICA CRF
1229;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
1230;Boissons;BOISSONS;ABV BLANC 1L
1231;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1232;Viande;BOISSONS;SUCRALOSE TABLETS
1233;Epicerie Sucrée;HYGIENE_BEAUTE;1L SPE CAMPAGN LEN
1234;Viande;PLAT_PREPARE;BOEUF PRX ROND 6E
1235;Boulangerie;HYGIENE_BEAUTE;LA CHAMPETRE 950G
1236;Bébé;PETIT_DEJEUNER;PANTS PLUS NIGHT M
1237;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;200G LE VIEUX PANE
1238;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1239;Boissons;HYGIENE_BEAUTE;6X1L EAU S ANTONIN
1240;Poissonnerie;EPICERIE_SALEE;AILE DE RAIE
1241;Boulangerie;BOISSONS;BAGUETTE CAMPAGNAR
1242;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;NATURNES BOL PLASTIQUE PUREE 2 LEG PLT 200g
1243;Produits Surgelés;PRODUITS_SURGELES;MAGNUM BLANC/AMAND
1244;Epicerie Sucrée;VIANDE;MINI BEIGNET POMME
1245;Poissonnerie;VIANDE;PAV SAUMON A/P EQC
1246;Produits Surgelés;BOISSONS;POELEE LA POTAGERE
1247;Fruits;BOISSONS;RAISIN BLC DANLAS
1248;Poissonnerie;POISSONNERIE;SAUMON FUME ECOSSE
1249;Hygiène et Beauté;BOISSONS;50 BATONNETS CARF
1250;Hygiène et Beauté;BOISSONS;SERUM PHYSIOLOGIQ
1251;Viande;BOULANGERIE;HERTA LARDONS FUMES
1252;Viande;BOULANGERIE;HERTA LARDONS FUMES
1253;Boissons;LEGUMES;Ste marguerite e.gaz.pet 1l25
1254;Boissons;EPICERIE_SUCREE;CRISTALINE PET 6*1 5
1255;Bébé;EPICERIE_SUCREE;A RENDRE
1256;Viande;PLAT_PREPARE;POULET FERMIER/LICQUES L/RGE
1257;Viande;BOISSONS;SAUCISSES COCKTAIL NATURE 450G
1258;Viande;BOISSONS;LOT 2 GDS LARDONS FUMES +1 GT
1259;Viande;BOISSONS;PATE EN CROUTE 450G S/AZAY
1260;Épicerie Salée;BOISSONS;TAGLIATELLES 600G
1261;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;BEURRE 1/2 SEL MOULIN D'OR 250G
1262;Produits Laitiers, Lait, Oeufs;BOISSONS;OEUFS FRAIS MOYEN X12
1263;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREME FRAICHE 30%MG 50CL
1264;Produits Laitiers, Lait, Oeufs;BOULANGERIE;RAPE LES CROISES ZIP 200G
1265;Fruits;BOISSONS;POMME ROUGE
1266;Boulangerie;BOISSONS;BAGUETTE 250G
1267;Produits Surgelés;EPICERIE_SALEE;FEUILLETES SURG BLINI 475G
1268;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;BRIE DE NORMANDIE AU LAIT CRU
1269;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;LE CHEVROT LAIT CRU 200G
1270;Produits Laitiers, Lait, Oeufs;BOISSONS;BRIQUETTE CH'TI
1271;Plats préparés;BOISSONS;PAELLA TRADITIONNELLE
1272;Plats préparés;BOISSONS;SALADE PDT HARENG 2 5KG
1273;Viande;BOISSONS;SAUCISSON CHEVAL
1274;Plats préparés;VIANDE;OEUF POCHE AU JAMBON 90G
1275;Plats préparés;VIANDE;FONDUE POIREAUX JAMBON
1276;Plats préparés;BOISSONS;SALADE PERLES OCEANES
1277;Épicerie Salée;BOISSONS;X *HARICOTS VERTS EXF N/J 4/4
1278;Entretien;BOISSONS;48 DOSETTES CLASSIQUE 336G
1279;Boissons;BOISSONS;RHUM ARRANG CHATEL LETCHI
1280;Boissons;BOISSONS;PASTIS SIGALE 45% 1L ECO+
1281;Boissons;BOISSONS;X BIANCO GILDO ECO+ 1L
1282;Boissons;BOISSONS;X *JEAN'S COLA PET 150CL
1283;Boissons;BOISSONS;X *P/JUS D'ORANGE BRICK 1L
1284;Hygiène et Beauté;BOISSONS;DCH PETALE ORIENT MANAVA 100ML
1285;Boissons;BOISSONS;MULTIP ALLLCIG 2 SORT 12V/24V
1286;Épicerie Salée;PLAT_PREPARE;330G BOEUF BOURGUI
1287;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1288;Produits Surgelés;EPICERIE_SUCREE;ASSORT CHAMP CRF
1289;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1290;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURRE ISIGNY
1291;Viande;EPICERIE_SUCREE;ESCALOPE DINDE E F
1292;Viande;VIANDE;JAMBON SEC ITALIEN
1293;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MOZZARELLA TRANCHE
1294;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLE CRF
1295;Produits Laitiers, Lait, Oeufs;BOISSONS;150G COMTE RAPE
1296;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1297;Produits Laitiers, Lait, Oeufs;BOISSONS;200G COMTE EXTRA
1298;Viande;BOISSONS;800G ROGNON BF CPE
1299;Boulangerie;BOISSONS;BAGUET MEUNIERE
1300;Poissonnerie;BOISSONS;EPINARD HACHE CRF
1301;Viande;BOISSONS;FILET CND CRF X1
1302;Viande;EPICERIE_SALEE;KG FOIE BOEUF X2
1303;Épicerie Salée;HYGIENE_BEAUTE;LA CHAMPETRE 950G
1304;Épicerie Salée;BOISSONS;P FEUILLETEE 235G
1305;Viande;LEGUMES;PREFOU AIL
1306;Viande;EPICERIE_SALEE;RISOTTO CHAMP PLT
1307;Produits Laitiers, Lait, Oeufs;BOISSONS;1L PASTIS RIVANIS 45°**
1308;Viande;BOISSONS;STEAK 15% CRF 350G
1309;Entretien;BOISSONS;NETTOYANT LUNETTE
1310;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1311;Boissons;BOISSONS;Eau de source
1312;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1313;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1314;Viande;BOISSONS;36 DOS ARABICA CRF
1315;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1316;Boissons;HYGIENE_BEAUTE;6X1L EAU S ANTONIN
1317;Boulangerie;BOISSONS;BAGUET MEUNIERE
1318;Épicerie Salée;EPICERIE_SUCREE;Olives vertes dénoyautées pasteurisées  le bocal de 320g
1319;Petit-Déjeuner;EPICERIE_SUCREE;48 DOS ARABICA CRF
1320;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
1321;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURE 1/2SEL RDF
1322;Boulangerie;EPICERIE_SUCREE;CIABATTA 250G
1323;Fruits;EPICERIE_SALEE;CITRON JNE PIECE
1324;Petit-Déjeuner;EPICERIE_SUCREE;CONFITURE FRAISE
1325;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREM FRAICH EPAISS
1326;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MASCARPONE
1327;Hygiène et Beauté;FRUITS;X4 ET 3P DECO ULTR
1328;Entretien;EPICERIE_SUCREE;TOTA BEAUTE / SANTE / HYGIENE
1329;Épicerie Salée;EPICERIE_SUCREE;1/2 OLIVE FARCIES
1330;Épicerie Salée;EPICERIE_SUCREE;4/4 HARICOT VERT
1331;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
1332;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1333;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1334;Poissonnerie;EPICERIE_SUCREE;MOULES MARINES CRF
1335;Viande;EPICERIE_SUCREE;ROTI*** VB CRF
1336;Maison;BOISSONS;24646499 LEMON CHAISE PLIANTE
1337;Maison;BOISSONS;24646499 LEMON CHAISE PLIANTE
1338;Épicerie Salée;EPICERIE_SUCREE;250G PL BEUR DS PR
1339;Viande;BOISSONS;DOS ARABICA CRF 2x
1340;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1341;Produits Laitiers, Lait, Oeufs;BOISSONS;50G PERSIL DAREGAL
1342;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1343;Entretien;BOISSONS;CIABATTA 250G
1344;Produits Laitiers, Lait, Oeufs;LEGUMES;CONFIT AIL
1345;Épicerie Salée;BOISSONS;MACARON PISTACHE
1346;Viande;BOISSONS;TRIANON X2
1347;Entretien;BOISSONS;OKAY COLLECT ET 12
1348;Fruits;BOISSONS;FOIRE GADGETS MENA
1349;Boissons;BOISSONS;Aperol Spritz
1350;Boissons;BOISSONS;Aperol spritz
1351;Viande;BOISSONS;Menu Maestro Ent Plt Bois
1352;Viande;FRUITS;Menu Maestro Plt Des Bois
1353;Boissons;BOISSONS;Espresso
1354;Epicerie Sucrée;EPICERIE_SUCREE;2X94G CAFE ONCTUEU
1355;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;50G CIBOULETTE
1356;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;8X FROM FRAIS NAT
1357;Boissons;EPICERIE_SUCREE;ABRICOT PETIT
1358;Bébé;PRODUITS_LAITIERS_LAIT_OEUFS;BABY CARROTS FLORE
1359;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1360;Poissonnerie;EPICERIE_SUCREE;BATONNET SAV CRABE
1361;Viande;EPICERIE_SUCREE;BEURRE CRU LE GALL
1362;Fruits;EPICERIE_SALEE;BIO TOM CERISE 200
1363;Épicerie Salée;EPICERIE_SUCREE;BUITO PICCO TOMATE
1364;Produits Laitiers, Lait, Oeufs;FRUITS;CROQ FRAIS RADIS
1365;Boissons;EPICERIE_SALEE;LIMONADE CITRON
1366;Épicerie Salée;EPICERIE_SALEE;MAYONNAISE MAISON
1367;Epicerie Sucrée;EPICERIE_SUCREE;NESCAFE VIENNOIS
1368;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;OEUFS CAILLE CUITS
1369;Épicerie Salée;BOULANGERIE;PICCOLINIS DUO
1370;Boissons;EPICERIE_SUCREE;1 5L LIMONADE CRF
1371;Épicerie Salée;EPICERIE_SUCREE;1/2 MELANGE 4CHAMP
1372;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;Bûche Soignon Sainte Maure, Lait pasteurisé 45%mg 200g
1373;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1374;Viande;EPICERIE_SALEE;6T JAMB SUP AC PSA
1375;Boissons;EPICERIE_SALEE;75CL GROS PLANT
1376;Légumes;FRUITS;AVOCAT PIECE
1377;Viande;EPICERIE_SUCREE;COTE PC X2
1378;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
1379;Épicerie Salée;EPICERIE_SALEE;GALET 100% BLE NOI
1380;Fruits;EPICERIE_SUCREE;PRUNE JAUNE VRAC
1381;Viande;EPICERIE_SUCREE;RABLE LAPIN X4
1382;Viande;FRUITS;SAUCISSE SECHE CBE
1383;Textile;EPICERIE_SALEE;BARETTE ULT - CONFOR
1384;Produits Laitiers, Lait, Oeufs;Produits Laitiers, Lait, Oeufs;250G PL BEUR DS PR
1385;Petit-Déjeuner;Epicerie Sucrée;48 DOS ARABICA CRF
1386;Epicerie Sucrée;Produits Laitiers, Lait, Oeufs;4X90G TIRAM CRF
1387;Légumes;Epicerie Sucrée;50G PERSIL DAREGAL
1388;Boulangerie;Viande;BAGUETTE CARREFOUR
1389;Boulangerie;Epicerie Sucrée;CIABATTA 250G
1390;Epicerie Salée;Légumes;CONFIT AIL
1391;Epicerie Sucrée;Epicerie Sucrée;MACARON PISTACHE
1392;Epicerie Sucrée;Epicerie Sucrée;TRIANON X2
1393;Entretien;Boulangerie;OKAY COLLECT ET 12
1394;Maison;Epicerie Sucrée;FOIRE GADGETS MENA
1395;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1396;Boissons;BOISSONS;Eau de source
1397;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1398;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1399;Boissons;BOISSONS;1L PASTIS MARSEILL
1400;Boissons;BOISSONS;ABV BLANC 1L
1401;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1402;Poissonnerie;BOISSONS;DOS CABILLAUD BQ
1403;Viande;BOISSONS;PATE EN CROUTE
1404;Viande;PLAT_PREPARE;POULET FEMIER JAUN
1405;Viande;BOISSONS;SAUCISSE SECHE CBE
1406;Boissons;BOISSONS;1 COCA-COLA (M)
1407;Boissons;BOISSONS;COCA COLA
1408;Boissons;BOISSONS;1 SAN PELLEGRINO 50CL
1409;Bébé;EPICERIE_SALEE;E+P GOURMAND
1410;Viande;BOISSONS;BUFFET PLAT
1411;Entretien;BOISSONS;2464699 LEMON CHAISE PLIANTE
1412;Maison;BOISSONS;24646499 LEMON CHAISE PLIANTE
1413;Epicerie Sucrée;EPICERIE_SALEE;Galettes aux 4 céréales
1414;Epicerie Sucrée;EPICERIE_SALEE;Galettes aux 4 céréales
1415;Boissons;PRODUITS_LAITIERS_LAIT_OEUFS;MONTANT DU
1416;Épicerie Salée;PLAT_PREPARE;330G BOEUF BOURGUI
1417;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1418;Produits Surgelés;EPICERIE_SUCREE;ASSORT CHAMP CRF
1419;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1420;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURRE ISIGNY
1421;Viande;EPICERIE_SUCREE;ESCALOPE DINDE E F
1422;Viande;VIANDE;JAMBON SEC ITALIEN
1423;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MOZZARELLA TRANCHE
1424;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLE CRF
1425;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1426;Boissons;BOISSONS;Eau de source
1427;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1428;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1429;Petit-Déjeuner;EPICERIE_SUCREE;48 DOS ARABICA CRF
1430;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
1431;Boissons;EPICERIE_SALEE;ABV BLANC 1L
1432;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1433;Epicerie Sucrée;EPICERIE_SUCREE;SUCRALOSE TABLETS
1434;Épicerie Salée;EPICERIE_SUCREE;1/2 OLIVE FARCIES
1435;Animaux;EPICERIE_SUCREE;10X TWIX 500G
1436;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;200G X10 FROM FOND
1437;Produits Surgelés;EPICERIE_SALEE;600G FRITE AU FOUR
1438;Boissons;EPICERIE_SALEE;ABV BLANC 1L
1439;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1440;Viande;EPICERIE_SALEE;BOUDIN BLANC PORTO
1441;Viande;EPICERIE_SALEE;CRF FILET DE BACON
1442;Viande;EPICERIE_SUCREE;PATE EN CROUTE
1443;Plats préparés;LEGUMES;RISOTTO CHAMP PLT
1444;Viande;EPICERIE_SUCREE;S HACH15% CRF 125G
1445;Viande;EPICERIE_SUCREE;SCISSON SEC PP CRF
1446;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1447;Boissons;BOISSONS;Eau de source
1448;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1449;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1450;Boissons;BOISSONS;5L LIMONADE CRF 2x
1451;Épicerie Salée;BOISSONS;4/4 FLAGEOLET CRF
1452;Épicerie Salée;EPICERIE_SALEE;5X200G RIZ INCOLLA
1453;Entretien;BOISSONS;ABV BLANC
1454;Boissons;BOISSONS;ABV BLANC 1L
1455;Légumes;FRUITS;AVOCAT PIECE
1456;Boissons;BOISSONS;EAU ST AMAND 1 5L
1457;Viande;BOISSONS;HERTA LARDONS FUME
1458;Fruits;BOISSONS;KIWI PIECE
1459;Hygiène et Beauté;BOISSONS;P POIS/CAR E F CRF
1460;Epicerie Sucrée;BOISSONS;PATE TARTINER NOIS
1461;Légumes;BOISSONS;PDT CONSERVATION
1462;Viande;BOISSONS;ROTI*** VB CRF
1463;Viande;BOISSONS;SAUCISSE MORTEAU
1464;Épicerie Salée;VIANDE;TRUITE ROSE ELEVAG
1465;Épicerie Salée;EPICERIE_SUCREE;150ML SPR NASAL BB
1466;Entretien;HYGIENE_BEAUTE;750ML GEL LAVANT B
1467;Légumes;BOISSONS;LINIMENT OLEO-CALC
1468;Maison;BOISSONS;24646499 LEMON CHAISE PLIANTE
1469;Entretien;BOISSONS;246464499 LEMON CHAISE PLIANTE
1470;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1471;Boissons;BOISSONS;Eau de source
1472;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1473;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1474;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;250G PL BEUR DS PR
1475;Petit-Déjeuner;EPICERIE_SUCREE;48 DOS ARABICA CRF
1476;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1477;Entretien;EPICERIE_SUCREE;Persil ciselé surgelé
1478;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1479;Boulangerie;EPICERIE_SUCREE;CIABATTA 250G
1480;Épicerie Salée;LEGUMES;CONFIT AIL
1481;Epicerie Sucrée;EPICERIE_SUCREE;MACARON PISTACHE
1482;Epicerie Sucrée;EPICERIE_SUCREE;TRIANON X2
1483;Entretien;BOULANGERIE;OKAY COLLECT ET 12
1484;Maison;EPICERIE_SUCREE;FOIRE GADGETS MENA
1485;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1486;Boissons;BOISSONS;Eau de source
1487;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1488;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1489;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1490;Boissons;BOISSONS;Eau de source
1491;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1492;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1493;Petit-Déjeuner;EPICERIE_SUCREE;36 DOS ARABICA CRF
1494;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1495;Boissons;HYGIENE_BEAUTE;6X1L EAU S ANTONIN
1496;Boulangerie;BOULANGERIE;BAGUET MEUNIERE
1497;Épicerie Salée;EPICERIE_SALEE;Olives vertes dénoyautées pasteurisées  le bocal de 320g
1498;Petit-Déjeuner;BOISSONS;48 DOS ARABICA CRF
1499;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
1500;Produits Laitiers, Lait, Oeufs;BOISSONS;BEURE 1/2SEL RDF
1501;Boulangerie;BOISSONS;CIABATTA 250G
1502;Fruits;BOISSONS;CITRON JNE PIECE
1503;Petit-Déjeuner;BOISSONS;CONFITURE FRAISE
1504;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREM FRAICH EPAISS
1505;Entretien;BOISSONS;MASCARPONE
1506;Entretien;BOISSONS;X4 ET 3P DECO ULTR
1507;Épicerie Salée;EPICERIE_SALEE;330G BOEUF BOURGUI
1508;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1509;Légumes;BOISSONS;ASSORT CHAMP CRF
1510;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1511;Produits Laitiers, Lait, Oeufs;BOISSONS;BEURRE ISIGNY
1512;Viande;BOISSONS;ESCALOPE DINDE E F
1513;Viande;VIANDE;JAMBON SEC ITALIEN
1514;Produits Laitiers, Lait, Oeufs;BOISSONS;MOZZARELLA TRANCHE
1515;Épicerie Salée;BOISSONS;TAGLIATELLE CRF
1516;Épicerie Salée;EPICERIE_SUCREE;37CL OLIVES VRT CR
1517;Petit-Déjeuner;EPICERIE_SUCREE;48 DOS ARABICA CRF
1518;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
1519;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURE 1/2SEL RDF
1520;Boulangerie;EPICERIE_SUCREE;CIABATTA 250G
1521;Fruits;EPICERIE_SALEE;CITRON JNE PIECE
1522;Petit-Déjeuner;EPICERIE_SUCREE;CONFITURE FRAISE
1523;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREM FRAICH EPAISS
1524;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MASCARPONE
1525;Hygiène et Beauté;FRUITS;X4 ET 3P DECO ULTR
1526;Boissons;EPICERIE_SUCREE;1 5L LIMONADE CRF
1527;Épicerie Salée;EPICERIE_SUCREE;1/2 MELANGE 4CHAMP
1528;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;Bûche Soignon Sainte Maure, Lait pasteurisé 45%mg 200g
1529;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1530;Viande;EPICERIE_SALEE;6T JAMB SUP AC PSA
1531;Boissons;EPICERIE_SALEE;75CL GROS PLANT
1532;Légumes;FRUITS;AVOCAT PIECE
1533;Viande;EPICERIE_SUCREE;COTE PC X2
1534;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
1535;Épicerie Salée;EPICERIE_SALEE;GALET 100% BLE NOI
1536;Fruits;EPICERIE_SUCREE;PRUNE JAUNE VRAC
1537;Viande;EPICERIE_SUCREE;RABLE LAPIN X4
1538;Viande;FRUITS;SAUCISSE SECHE CBE
1539;Textile;EPICERIE_SALEE;BARETTE ULT-CONFOR
1540;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1541;Boissons;BOISSONS;Eau de source
1542;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
